,sim_rt_mean,sim_rt_std
AG1DBDKY,490.4265,277.0108501544689
26K18JMC,511.539,295.5778401856344
ZEAB7J9G,467.649,255.82743136012243
YE9WDNR8,524.9545,305.5724213375465
5974KV94,369.5115,179.48483019432294
TL570LHZ,422.852,227.5852645104932
DVVR7GEL,419.6945,220.4430600883606
ALAMYFP6,436.459,227.05989830374904
FG9UNK15,336.81,146.27395850071102
NJGJ5FRB,427.0855,230.17202212613682
BWTD7W8G,442.249,239.76422468900645
7K0DFRE1,419.5605,213.40027923913235
MUWA98AY,416.434,211.27930119999397
61LJLRTD,567.2007007007007,338.38184891187507
U3M4BG5Y,512.5265,293.40588918024946
B7T61NTA,454.2745,248.3858790716797
FBE9UXHG,539.129,324.5280428318825
ZGWR,414.1845,211.50768120651006
0BL9EL2Y,469.4285,263.5276101064065
T1C2GBHB,427.5285,234.3657181258947
4XEMVP0N,431.0,235.2760642590032
JLDR7ZUA,463.1525,263.52178678394864
GRZPCR43,495.8675,286.59389381795427
3933Z8FN,430.901,221.66024188025963
O8P3GNDV,465.836,250.9073361814573
AZ4ZE28H,471.38369184592295,254.06757898021138
1NY2HJJM,416.274,214.85601103236178
MEZY36AN,449.463,248.72289836499883
VVHP3,382.902,184.40993440689135
G957G5YY,432.294,225.09553430439684
URV9HRCM,498.6145,290.20772414139094
HT6KEU1H,502.803,287.6386381974648
8ZNJ982B,467.2195,269.3765156306998
FYNEZGWE,366.7155,184.50244479631678
5A6YDAY7,428.3485,231.66672567212112
8L88HZVW,381.964,189.8530452571059
14F94Z7X,497.584,282.19816768881304
WNGXWEL5,362.906,178.3359807358361
VBYJ19B5,489.0955,276.426337637751
2CW9FCHW,392.3655,200.83311948154952
WAFKK7PK,420.9675,218.61558460152224
4VUZUGXU,456.2845,262.94647360963387
FHHXU5T4,445.839,238.49467695205954
M3JM9ARN,358.4625,167.54735644609866
Z7FR6UCT,442.4815,236.96528000893898
DB8CUMHL,368.419,172.3996120996972
M3VWCXNN,403.269,203.7903184303488
H7TM17PE,475.276,268.46947639140825
TV4KFLNU,447.42,244.00997527563706
WPTBB9N7,406.9085,212.26772934718812
HFKBP9C2,474.171,269.44601191271664
ZXF5C635,437.4265,239.56034349791375
7261JZGE,374.991,181.66979902267317
3XKBVA63,469.527,258.9941915692962
EKXJ,386.315,184.95781267963682
2V1TRPDR,453.0505,245.7631760844361
M7FJXJRR,455.625,259.4377697120768
1CTLWW8V,441.556,237.3164098902594
8LBGM6LE,462.847,251.30534371335887
C4H4Y34B,385.862,185.7175071236584
CFT8L45Y,376.4935,193.74885875246835
BD527MYG,420.323,228.17502403154447
AF36HM7X,536.4355,316.1952886588208
EU0LET8P,552.9659829914957,338.4864087261319
CGWV06JE,493.886,284.22385474094517
5K9CU40G,422.706,226.88721309878585
5AXUMK7E,339.7835,159.55557219370004
3PNCV5A7,501.0135,289.02528284704164
1H63RRB3,428.2635,222.9574019163406
AA1BAPT1,510.2535,304.8327159773292
YWCJTCBW,377.6105,191.28221881128073
DULBXX1K,500.1455,289.5066724385523
E4KDYWD0,353.624,170.93065631604622
H6H319AA,474.2515,261.3483053629927
35KNHNNM,533.28,317.79531861288666
86NEYD0L,457.811,251.31829961795745
MZYRHT83,394.249,199.46098701668663
4K2HKN0K,461.774,245.15413967563356
2RD4CZ7T,407.22,205.9775108294198
CE16DXG2,407.756,210.35078366883982
CM8902RM,443.566,236.32974742668213
RL1GM16T,388.4605,185.53028912779152
EN1P5RFL,497.646,285.6911363635532
WJ2YVYHW,408.999,206.74982404798303
5KTH90ED,509.714,297.5247160864811
J9D04KNJ,328.0415,146.36481854531812
FHNEW93L,512.385,301.3402624142282
YT7M0T6Y,440.609,234.59067012619053
C65H30NV,371.846,180.17787965829513
JP6F56RT,471.852,253.63782677192455
48RC3H1N,380.808,191.69416126145018
PLP1WVXM,540.144072036018,326.85281552503636
43TD8G0E,404.68,203.33709594487095
0EXY6KFW,419.278,218.70242131843278
J1DZJB1L,437.3835,233.45141937961134
1RJ51V8K,421.1455,213.51102502834442
4XT06HUA,447.3785,244.95610828318328
7E8WJTYE,450.506,245.67971675661954
9PA518RY,392.153,190.06622049982357
A70NMJZP,420.4795,223.29035328622092
E4V221E1,323.628,138.54268170252323
4BKN34GB,423.9105,214.6913870782729
JKDWLHZU,489.435,272.4453431562077
5VJHAFVK,484.9345,280.21722833772844
XTRHH68Z,462.474,264.9203610952949
21YVF1WJ,478.3445,270.67120140381525
U73T72AE,465.057,260.43404481144245
Y0YM6R2T,325.287,145.05839720712535
0P2ZCYPM,437.7195,237.95164490376234
PRLTKVRN,438.78,229.67266133713616
MCB04PW4,430.088,221.4832627397315
21VF36AV,340.539,149.02401000100082
0P3ERKVG,484.7275,271.2368834934394
2L3VG13G,506.995,290.07841822403765
CRCB0WAL,414.4995,213.16024170579286
WLDVYXKE,336.897,152.92502876642402
FF1W5WM0,482.688,276.2129802547857
TAX3MN8C,466.4915,255.65993023489983
21KEUZ1N,455.4455,255.30840609126136
9PVR76W7,435.203,230.60346651857859
RKFYBXU9,489.7205,274.7265216731091
7HF5AAL9,531.096048024012,317.4553349198258
69NJR4DR,459.643,250.77399256835693
ZTTGYL51,495.982,280.2163651210272
5D1E6KMW,404.2935,199.98348695649258
0ULZKXXG,475.9544772386193,280.0375965548172
AW1XZUW5,397.014,193.0964679297979
9U33DV8X,396.384,195.6280289397545
9HB34LLU,444.6125,243.64019293941996
R3JXE4GH,533.7665,309.257040237111
Y9FMUL8B,488.632,270.0732499826261
3MFBHV8Y,436.6335,235.3974557186832
U43XT2KJ,448.1675,238.69108311859947
5EFUXC2G,392.8245,197.38926505950207
4P3K4E3R,470.056,267.2106858628967
NBCLFXHV,456.559,249.54708852979402
7239K1HB,421.1885,222.6766746169415
WY2D5R9A,380.07,189.4295116129875
6XNN68K1,429.063,229.79466883701406
DT85NUFE,355.735,171.760856049437
66TNJAWV,465.782,261.40545304457737
YJDWCMJA,441.345,239.0631246423879
T472A3DT,446.3465,245.504412681469
TPXZDTAT,506.68,289.83327494204633
GVAR0AFB,426.767,223.04789596171148
G08VWT16,365.6165,170.69915503163529
FZ4F6Y38,565.839419709855,345.7837968456944
YGMBFN9H,407.649,205.91963540935956
XBHMF9C2,348.8215,159.82018296570556
3BJF2R7E,396.2495,202.34520018960146
ZUDPGDWJ,425.349,221.56304134409427
5V6LPP6X,378.857,182.00673827468228
GYR34XNB,435.5145,235.21916124469607
YE99F6V6,382.612,187.91469453507648
N7MH5976,447.3955,243.26468698460295
5XV8TY4W,475.321,265.9235164804133
R8F6YH4J,447.0685,237.76950177795695
HK3PFELX,496.486,285.3633524569382
NGT8NC5C,502.6295,276.59169494510553
KHXDKCB7,312.837,135.95181822778142
FN0UUKK3,422.3875,215.06858113412457
H8KHAFL7,467.4215,257.64038915281003
ZLP46GRP,305.2625,128.37670693389668
2ACJBYFC,443.4525,236.54686417965175
NK12ULUJ,380.5235,186.0270853558508
6UZL0D8M,508.2675,290.5455029567558
3XW4NJJV,397.8225,202.2911412955924
WDG85F4T,480.68,272.9527453619038
H2N0P8GY,431.6635,225.98064274002894
F4Z1R5WK,446.928,231.90372891728774
NZN6,385.67,200.16970064054965
XK6KTKFE,414.195,214.89704592006981
28B537H0,416.819,214.9709992167598
HV5ACGVN,394.095,192.0179585955741
4NNE3HU8,409.5005,208.4605139893317
P8CFEA4E,444.5615,235.76107791720062
X4GVLBGY,403.5775,209.47143035224855
7LBEJR41,421.937,212.42863035028083
XBPBAPVX,473.369,259.50740429791733
P5DWFRD0,431.6875,229.41472795453046
0CFR33F0,410.1125,204.9127386449644
E7949ZLU,405.9985,196.37382931075385
52ZXUXVJ,435.427,223.28662326495183
6G5G,460.234,262.5320261918309
DV2D7CXJ,420.905,215.55495806167968
UBLUW5AM,429.9625,225.02395424430233
KKXA5H12,451.2395,239.6980031333241
WJ086JLF,415.6335,225.45847719750995
7H18U74U,433.147,232.76437875888465
TU4MAPYT,418.839,219.95619664656326
9L5C6ATX,453.6185,245.66757669026745
0A4ZDYNL,468.5455,256.1301881199934
M6DMWBV5,357.0725,171.28240737240833
WECA1JN4,456.9865,246.30326625368497
0YWBYAGP,492.9685,286.97919268871766
Z0M0689M,438.7315,240.33498467801164
F6553H6E,428.1445,223.54219104083612
0FUC15ZB,395.734,198.58759971705356
26UB5CFA,472.0485,263.2040203452693
JE8U3WEP,407.9075,210.3787906646741
PAXW8WZB,422.0835,220.15815300351008
CGHNP1DK,413.023,208.9339038047189
69YP46W3,430.8675,231.87354228880184
LHW6YXV8,498.0505,281.6634926846318
6TM6V4CG,422.7075,215.33752824179214
K5MXZ6UG,414.9045,215.10951032082525
352NLM92,505.6445,292.3173426845679
13LFMTL6,473.928,261.272747412106
G2MCMYGW,497.6795,278.19214261703536
AGCC9200,408.081,211.46848441067874
EHP8VX1B,441.5405,233.24367229376776
7ELLRZA6,396.4395,194.723855831187
L5H2T7U1,424.6125,219.31727104001232
DN6HKHAW,384.804,191.61098342340463
T6WVPL1D,523.364,317.4058312868045
MAK80V91,430.9035,231.84605773010782
BLR3A9XC,453.603,246.8608444635654
F40W150V,404.9605,205.69955783568642
M5M4VXYD,410.814,214.08869280789702
E0577FC4,337.0985,156.5057629119846
7ZG74PKJ,317.894,138.60045745741138
RRUM0E9U,336.1035,147.41549257617308
9BZ2E5LT,390.997,198.97699845448716
NW7JFAN8,375.066,179.77294234505842
LMAAJ8JJ,443.291,234.95305017576052
26YB6ZJ9,405.967,209.00040070475313
EYXZ3PDP,403.644,200.61082626769647
JE7AU0B9,469.5727863931966,251.16287219284231
JT03Z8N3,542.5057528764382,325.34542333711624
WL1XK1BE,410.473,214.91441406682532
962XTXRC,447.6625,231.40342341014096
AK35AT6W,466.34,247.53527275042606
9H1DR3JY,408.8865,219.20840718512673
BOADADN3,414.653,207.40134823724102
34BZY5KP,453.4005,247.3400486164236
MTJ5Z63Z,534.9215,310.9746757570962
3HFPA2R0,439.8655,237.4650315948965
MJMFXLDG,511.5105,298.5077676266008
B3GLY6BU,422.639,221.17286315617102
TFUL,416.4605,212.3427351202041
A0D0J1PP,497.7775,279.475183482973
W8ZTTJYK,504.90445222611305,284.28856002405047
4RW0XZTG,449.5295,241.0240660804746
B8MBHMWM,363.686,172.50888110769984
PWY97N4C,419.2455,223.78442967559786
KEDNL754,452.3,248.8260842638992
350C,462.226,262.6696053691641
FXNJFKE2,427.9755,227.98391222159938
956TANLH,486.0735,276.82242760651275
84XXL5T1,429.712,227.52430355976298
FF1FE8EN,436.6705,235.4955095054864
DHRT3GB2,468.436,264.95473275487007
0U317B9P,439.5485,239.19739619176974
LEXJMGJ6,449.4125,235.31698703226456
GJFEZAEG,447.235,239.0645617973389
KL523B72,532.46,312.3826769659839
0KTEM27A,367.2535,171.8418169211772
P9LDNE6V,361.8325,169.28023317097956
GH5DHURH,502.012,290.0095854205821
08K0R9C4,511.29,303.8955217571855
CXN95RV7,432.1275,232.10067989248387
UMJV7DFN,481.158,268.22106611180465
AP0L6AHN,402.3105,203.73877597101412
GNHMJJTD,457.327,250.01602163969065
AZPCL56V,384.9865,192.9228263482917
EWDP96RH,387.352,193.18084665866303
RMV0P0FV,381.2505,182.9401494995001
PZAWPXFB,405.667,207.4731757850522
2XDH23JX,446.87,246.6534614900681
X24GH2TJ,384.501,187.31958336531736
PH4BZ3KW,468.7065,266.682359930872
1E35BEZ6,499.732,285.05474962038534
2RJ8ZRGL,463.8565,251.2110535077074
K10RYUC1,564.419,351.59447631737396
56L41G67,271.8985,103.90210787929607
0G42TBW1,403.5135,203.9213225011924
4BB6Z0VU,514.8745,295.6125371763145
W4HWHZAF,433.044,225.24537909666915
8HX2TBDP,467.399,265.8175563909254
7VBC21L8,460.018,246.27832869254206
BLJJA3KF,466.3125,259.64449825961697
PM59P2MU,471.5325,255.88967291804306
0DBRJXKG,412.8665,207.67010886212637
11UF2ABG,331.031,149.88139395911543
8CTZ,331.859,141.8688426091213
KJ648G0R,530.483,310.1104528349194
0G37YGY1,335.389,151.14758176939972
CGNRE8LG,397.5195,196.09147496264728
396JNWVX,422.1675,215.35644323439985
JD1F4PXK,458.8125,252.55758751472035
1F5JEP46,435.671,233.5812318122487
21VH8BF0,409.8385,210.35716885096522
L0AE80Z3,514.288,302.0797612338065
DX53W9GM,489.125,271.147020504309
N1TKYKW1,460.3705,256.25434313185207
E39X2HV4,418.4985,222.48715078377435
GZMP9AHJ,325.6475,147.04982172306225
K9A553B8,508.828,292.92241837659645
1CYTVBWT,503.798,293.02140359960697
UBKLVB72,466.1875,254.99198575670977
H9F934NE,491.153,277.8120144066385
NGPAL,502.387,281.82779615279645
F3YGVG6M,485.2955,271.54820086394653
VR6JW9BP,486.307,272.48406473364065
JG8HUWJZ,390.551,200.01091115559333
RL10,417.8915,215.21394761811953
RH6B02GB,410.5665,199.11083883309922
XVAB3PXP,369.38,176.83470772709882
J1KU80DP,422.609,225.34075829213373
37MKKJBX,451.8285,254.93714433469825
FWLC8Z8K,470.214,264.5164885037323
WCG2L6JG,515.1225,300.85120278446357
GHEAY9XB,452.1545,245.5249964702084
CU4L4APH,473.648,269.66853849926235
PEM4YKYG,497.143,284.65942816991503
FHDGM,376.8445,184.7449286559229
A89JYXF3,393.4615,195.87601492873543
8HMHK4GC,403.0645,204.57854122442745
5K67LYGB,440.399,231.32018137671446
WYH5Z4YR,439.5295,230.4289627698558
AL3KPGZ7,510.022,291.2467645398442
U9VKB2N8,442.6505,235.78239123768103
GB9TAJZ8,485.7425,267.2813103140053
FKTJNMWU,524.5185,315.9533761897677
HFC9FFMD,360.9115,167.98480322579005
2W7FBDN4,526.076,307.0158963381247
8FCEHCME,465.203,263.3048566106546
TCEFC224,408.566,207.9869850182181
H4UTCCY9,395.8115,199.56169071730923
86X5Z1TX,436.32,231.13661905534175
LMLZ,334.6925,151.1975240848695
YTVCUEA2,388.2195,195.2819777787305
R6TLLPMG,453.407,246.811848166164
97RLXMF9,513.084,306.6618050480654
PZ1GC78K,418.504,220.52971832007398
DZT03PNN,408.431,205.40973886213308
HYRM141T,407.827,206.37962434715504
1ZD6AF6H,408.619,206.9146966381132
CP16BG12,397.9855,207.04582168179087
CV0BAW89,439.695,237.31931274782832
BU2E2YDP,479.34217108554276,264.79454323610287
0UA196B6,440.761,240.6851938950133
MZKNKER7,402.427,205.81607760303848
T8JB3RWP,510.8389194597299,301.48316066108106
J6F8W2G1,421.8545,224.2319788074617
VHBYV2NC,410.2645,203.52340756891883
FEL8XU1V,440.293,231.01610197275284
85REKKD1,418.741,213.4334388876722
32ZL36Y0,419.5595,222.33653372053686
H907TWMT,406.0205,204.82018390192115
00J52GPG,357.856,169.3296032041079
569JK9GU,448.3725,242.95920301753432
B228FCJ6,375.8485,185.5618553173696
AF68YE4X,426.469,224.55892410277775
9WDTKY2A,326.3935,141.50498750395425
LRHY4MJ7,522.909,316.94497436840464
VY3ZED85,405.2235,199.79463580386235
U1LGT6DY,414.894,220.09318314894333
2M968UP1,423.177,223.77914161760373
H0016MVZ,397.4435,204.5342512581178
DJU1GZNN,349.442,161.687411524592
0A9K5L4R,436.4015,237.1578002277269
7FGBBTWL,498.074,290.27122698712026
3DAYG47D,505.7775,281.4390875016064
RJ67E8PE,500.4585,281.2100243886379
Y2N1VZ6L,437.7235,231.47119800420688
KLMJ728E,423.617,217.40309188965458
W58F28HT,379.746,182.8091766885371
Y81M9FZH,470.958,267.3426645452294
YCVPJ3MW,504.75725725725727,298.91669813431326
ACZZH8LM,497.1455,277.76886452732674
4P46R5XT,409.124,205.79106298574385
F548JWWW,495.9255,290.30513168818123
K7H62E8W,330.3595,150.0916787025779
B120ZVGU,490.8895,280.03506406931285
0U23M45G,429.819,223.77591485464765
YJN69PPX,380.603,182.8066506633809
38RT7JJA,547.033,326.61893526774855
1313F6FM,465.0,253.34845513612262
7ZE3WGCX,459.811,254.33095839319012
3EX0WR8L,387.791,194.0663499762299
CDNXAUT3,473.0725,269.29432775539595
UAERPXD7,458.218,256.0081669923508
DTHJM3Y9,452.4775,247.2157889717169
J5VHG1C3,402.8215,211.6654312001196
PJ80XL8H,359.77,173.476935710808
LV997J7H,488.311,280.7120640629028
7N4ED3TP,499.5985,277.6816880128735
VH4YPG9H,366.3925,175.5891831075086
857VP9C8,519.905,300.1929944085071
GFM1YUKG,342.0975,156.96204488830335
GH9BLP1B,505.082,294.5424602777216
3A2DLZTM,460.4305,252.43706820998622
2PFVV0YJ,531.6135,323.0050978922503
93D98KMC,390.991,194.4099110790468
2V43CKWH,488.579,285.0987309726248
F72J4L68,534.485,314.01920610991766
KVBV80LE,417.105,221.08117382018048
VN1L2G3J,366.29,169.18919407484583
APJKJ5KB,433.8125,226.15181773773793
PWATAYXG,471.077,256.67418040863447
HWPUPM4D,406.8475,206.45725112482975
040B4TRC,399.0325,199.3705764578328
6L2C,382.263,189.95948287349802
993K33D2,467.986,267.6124661147347
8Z3UW49L,410.8045,213.04678534566781
ALKAWEWB,408.915,213.2606476284677
1MZ6AG9P,446.044,243.60251262266988
7JT2AK44,468.025,257.65072544660455
XARP4RCG,391.9635,205.10905887055642
RTE3HDM4,357.87,168.2818899859656
NXWTX9VX,459.592,256.3218640401019
X6MBE8T4,401.648,202.0063919463778
YCK6,395.5805,200.04141522107818
XRWF7AVL,552.94,336.8528823272351
KH0W5,411.1165,212.72825995631615
EJ8E4U10,530.2902902902903,314.99160843726406
6BVU3BDR,495.054,289.5863916400623
04BFG4JM,453.8065,243.54566574546485
65TGVETU,447.7795,247.8650609181576
0X38WL5R,494.63631815907956,287.7761167905458
6J9EV4DL,444.326,240.5167600811635
BJDX22E8,434.385,239.19489725835965
CEBCR090,400.162,207.3635058726195
1YDZ2XE4,453.7315,249.09207903839462
ZWWDT1TG,545.118,317.98714122900236
R3CBHF7B,366.531,175.46520184221365
8ZT3LDTV,403.0865,204.99381759061708
X3ZCBLYM,448.9,241.47585033113884
21YRAN0R,508.827,300.07415636915545
L922H0ZT,458.235,254.3977847612784
07UK1DPH,441.782,230.73525707058235
BTVBZ5VX,479.4175,278.10815030376705
8TCYNPU3,487.206,282.6882875146209
4P9B9PGN,441.5445,233.90255069443063
7F1PXABE,430.40020010005003,225.56576387784068
KV552N4Y,435.6275,225.4972643999832
507WXWN7,410.7455,207.6823384561222
6H4LKF9P,445.221,250.76826856933204
PFK4E6YP,472.493,261.3848751888463
J6X3AHW8,404.247,208.40873084049352
B7CBMZ2F,495.375,280.7137857137495
Z5T7BWT5,498.371,284.4093083679632
D4J6E7PK,437.998,242.67109557240877
42425KF9,354.706,170.3405369055077
YUWW46LM,378.092,187.99881731983538
2U88LX3T,399.8155,202.99058857315194
CUH7,415.677,210.98043284276687
FZ8BBNJK,361.4685,175.3466173778751
0NJE7J4R,438.7295,240.65219938800715
PHGUL1Z3,432.388,230.53617052202347
EEVBDEC7,436.059,228.2606864738095
GFDT73J0,443.2405,240.97092179830778
X7VT1MFY,422.763,221.62036599625083
MDY1W3Y0,465.6395,259.2415661782795
EDF5950W,490.28,276.4089498438444
RWZV4MWW,359.7685,167.7758632160447
20KZBB9N,402.4815,203.49567293237735
8M54W504,485.6195,272.8196913929709
XWYAZ3JP,478.614,259.7980552636208
6utcm96k,431.186,231.73490228376957
C6941X6U,441.132,235.97349707469445
28DR91DW,487.0535267633817,276.0319515465424
L08R9YMD,405.2695,208.47217846596985
743YNW7Y,483.4495,274.33102851546556
9EFM2PFZ,564.8514257128564,334.02541881889096
4X3B9V7E,521.134,309.64540232593606
YME882GP,432.079,231.26351455770708
N8KGV116,404.2015,200.00464451272958
XAV4KY99,371.8995,176.07646594783853
AHRRU15U,421.6235,223.31250969491862
RTHVMF0B,413.9345,213.14972111536008
NE5HMEV6,466.5225,255.90884932594977
JN9LRK2A,470.525,263.48488100127895
AG81YFMT,462.0525,259.23940726457744
0VVG7LYB,422.9005,219.1974688834989
KC24Z5V5,515.6235,303.1445200688508
CPPYNGF9,463.113,261.85246339741326
49YTZ5Z4,448.868,240.97556969243647
J7JTARJZ,398.342,196.38176579043045
E3F19GUV,401.9,205.69032367767647
73VBCJUJ,493.2365,285.29984151333446
5HDBZPE1,360.318,169.6442143302502
TFRWPXDT,425.9025,230.07188122196615
H2JCLXCG,399.112,206.10969181125196
G4ZUCJ38,401.802,208.48676495543017
JTVM08C0,435.7795,226.01986498853307
RRR6XT5R,395.379,201.7326408596142
REFXMF6L,427.035,227.26686051411886
1JAFHY62,372.224,178.2229012368013
1WED9TPM,449.3495,248.37849401245256
2MT0XW8T,393.9485,192.1994150754046
C80PK9BL,389.0875,190.9463644608098
AVJXHAEC,488.075,271.09037860404754
0XTVAGV2,490.5895,276.4542140318682
D2V80DW2,404.2325,210.9211091875359
B1E3XW7P,347.9165,157.1666160491794
VDTMX4Y4,513.0585,293.01954423622016
C27Z02JK,414.4465,214.07820504826816
BUPMZF11,373.426,174.82326822124045
YPL5XV35,473.8065,271.8081490549839
464X4LJP,481.6655,268.8892826665214
FVFMMHD7,474.6195,265.87265909675176
5JKLGU54,461.96698349174585,255.92343134845703
W9E71H52,486.9925,276.252124085555
LFX8PTZ6,376.478,178.8440608884106
8DJ5XGV5,509.425,294.66362636292706
DN2W0CYG,352.726,156.73585099617046
XR7F74W,397.505,203.1965117471092
X2BLRMU7,460.224,256.67267726742523
53EP1G5X,323.566,143.9707659030727
YRCWU5F8,388.863,188.52417859244733
1N0V1BUP,417.242,216.12605273621148
Z4YHXYLW,389.4445,191.45411528321725
Y6BNA3UK,466.3755,265.05955705113155
1PX9GGJP,479.0315,265.5759586307679
9AH5WYA7,369.04,176.57288974442355
D0WWVAGX,468.4645,267.0823510284149
17UL1T8L,450.179,248.883455549426
VT3K0T1N,424.17,226.07244297954003
7ZTZMB99,504.4285,286.5358516571573
7LB64CGV,540.9854927463732,320.82437184106203
98096D02,452.2415,243.96283756098057
D646F8XA,447.565,254.54672811371333
4V78W98J,355.951,171.82417866291865
XAAY5W2J,397.9635,199.92787635950822
29YF00DM,457.7335,253.50694342153918
DVEWNJZ1,457.975,250.46437586369123
54U1B199,497.535,293.3238197054635
UE7CU1V9,478.03,269.52647246547014
DZ51,368.357,173.98154022530548
A1L9YHKZ,302.5955,124.1173575249227
21C5BFGC,480.3385,271.08854719069
RHKAEMD9,437.9545,230.46831941261783
D33P1GPC,457.4135,247.4705565434562
LF41F4P6,408.4855,206.3476931661401
XP75417U,352.4945,168.2019914409825
2KJNX54B,480.2325,281.27475035335675
G72BHGNU,583.5147573786893,357.59087781041325
0N0JE94U,438.7365,236.1279425870331
D1PRDRJG,421.9685,225.61612492386894
EJHM574R,425.2615,226.64128762071837
JAD86WDH,472.744,271.7335736185644
MWHKBMT0,436.437,235.68341130886387
1Y89NGUJ,442.693,236.31244261838634
DWRFW2TP,490.8075,278.5642321969562
0XTAYD1B,572.4597298649325,357.39016772445376
FAM4RN2C,455.543,250.8966993163998
CLWMJ2FL,396.2825,202.67882239216098
BLYFK2HJ,420.179,221.19262882954365
4G19G9J8,449.0385,239.38305943053106
030W95VP,413.841,212.23149347448697
KG5M5RTF,466.628,257.2382871661839
BNBF1GWB,403.953,206.08844949561768
5J25ZKJV,437.213,229.3000019111169
WD9X0GKT,405.9155,197.36543242601618
NGL4MJW6,393.802,197.30900693609772
CVNFXR7V,427.252,228.61853099072303
MCTA6E68,482.84,274.5314265290516
AUR9UZH4,365.3265,176.4461859208439
50UATGZM,444.2025,244.1346049752538
UF706YA2,428.928,227.60401492461617
P3NFD934,475.6198099049525,270.7349773407928
D5YA5MWR,512.3715,296.08120090021464
AY3PH51J,421.564,213.602195337329
EGRH63PV,449.2885,239.80483199150353
BLZ7H5LD,487.0515,274.8061681672764
03VJZEL,460.2155,247.2574775205897
VH54ZRW3,455.575,252.64005199678152
ZNW7Y6R1,413.546,211.70761663546904
GPH4CP68,431.031,228.59322052334497
PR3T5MAK,487.2255,273.61907160854844
8EUP2KFK,504.528,297.0632853682139
974A42PH,424.8035,225.3060858119504
